"","Direct effects","Interactions"
"alpha",0.361387759876232,0.0672524164332371
"delta",0.114642075001223,0.0213343046576706
"tau",0.00181483979871251,0.000337732417789762
"C0",0.0120966993702655,0.00225113397253794
"Q0",0.14048346950221,0.0261432561971227
"N",0.212678019528096,0.0395782932449018
