"","Direct effects","Interactions"
"alpha",0.0416334900462231,0.0309163243718958
"delta",0.0862760838803853,0.0640671582377911
"tau",0.0158631973977414,0.0117797416401913
"C0",0.0596357531970001,0.0442845000011723
"Q0",0.0159276470555567,0.011827600864207
"N",0.354524566457254,0.263263936850581
